Country Code (ISO3),item,macro_impact,type,physical_volume,physical_unit,Country Name,gdp2022,relative impact
ALB,sesame,514.9513904869112,vegetal,0.38414157922225345,tonnes,Albania,18916378860.5488,2.7222514112406158e-08
ALB,sorghumfor,1374.4168139438552,vegetal,5.366952154414569,tonnes,Albania,18916378860.5488,7.265750089253503e-08
ALB,sorghum,133.76625251231167,vegetal,0.5223430547599813,tonnes,Albania,18916378860.5488,7.071451333177139e-09
ALB,sourcherry,4233611.339631107,vegetal,5759.133927978515,tonnes,Albania,18916378860.5488,0.00022380664771208127
ALB,soybean,71863.17113074417,vegetal,94.29624869537354,tonnes,Albania,18916378860.5488,3.798991956151764e-06
ALB,spicenes,1121350.8070290757,vegetal,137.59834185485838,tonnes,Albania,18916378860.5488,5.927935866032571e-05
ALB,spinach,3742337.9236390386,vegetal,4215.768754803467,tonnes,Albania,18916378860.5488,0.00019783585173607936
ALB,stonefruitnes,41151.84858926493,vegetal,44.638082860684385,tonnes,Albania,18916378860.5488,2.1754612176376676e-06
ALB,strawberry,7022574.083465741,vegetal,3549.929063687897,tonnes,Albania,18916378860.5488,0.0003712430447304967
ALB,sugarbeet,365491.2644248633,vegetal,7411.468282080078,tonnes,Albania,18916378860.5488,1.9321418074741374e-05
ALB,sunflower,553709.8791035704,vegetal,462.1566472778319,tonnes,Albania,18916378860.5488,2.9271452173035307e-05
ALB,sweetpotato,432.15614510307864,vegetal,0.4883672111007782,tonnes,Albania,18916378860.5488,2.2845606354626634e-08
ALB,tangetc,2657348.7753454186,vegetal,6121.512958639526,tonnes,Albania,18916378860.5488,0.00014047872454529193
ALB,tea,568295.5144836162,vegetal,48.6267709274292,tonnes,Albania,18916378860.5488,3.004251070847546e-05
ALB,tobacco,1866913.276806888,vegetal,404.89129601745606,tonnes,Albania,18916378860.5488,9.869295231237111e-05
ALB,tomato,63049890.54098205,vegetal,96984.91084599608,tonnes,Albania,18916378860.5488,0.0033330845721469575
ALB,tropicalnes,0.0,vegetal,0.0,tonnes,Albania,18916378860.5488,0.0
ALB,turnipfor,0.0,vegetal,0.0,tonnes,Albania,18916378860.5488,0.0
ALB,vegetablenes,73683432.3970427,vegetal,67620.74922377929,tonnes,Albania,18916378860.5488,0.0038952186853644464
ALB,vegfor,13275438.095164532,vegetal,12183.133182934569,tonnes,Albania,18916378860.5488,0.0007017959511717765
ALB,vetch,148511.0039652832,vegetal,573.5122763671875,tonnes,Albania,18916378860.5488,7.85092141895146e-06
ALB,walnut,455969.2487754237,vegetal,199.00820110586065,tonnes,Albania,18916378860.5488,2.4104467992358403e-05
ALB,watermelon,23461714.03346538,vegetal,101963.12052788085,tonnes,Albania,18916378860.5488,0.0012402856913801901
ALB,wheat,15920567.273978556,vegetal,36364.93210136719,tonnes,Albania,18916378860.5488,0.0008416286960281715
DZA,alfalfa,,vegetal,,tonnes,Algeria,225560256621.757,
DZA,almond,194853657.1001836,vegetal,58421.19046875,tonnes,Algeria,225560256621.757,0.0008638652039970613
DZA,aniseetc,815006.7964247772,vegetal,245.64922078851555,tonnes,Algeria,225560256621.757,3.613255316478318e-06
DZA,apple,436884741.77427226,vegetal,529345.524546875,tonnes,Algeria,225560256621.757,0.001936887057664978
DZA,apricot,200322088.72408062,vegetal,197181.27273691408,tonnes,Algeria,225560256621.757,0.0008881089768398412
DZA,artichoke,56665352.116337344,vegetal,124923.61577675781,tonnes,Algeria,225560256621.757,0.00025122046305949957
DZA,asparagus,643.1664883915096,vegetal,0.6509782271169126,tonnes,Algeria,225560256621.757,2.8514176124122716e-09
DZA,avocado,32325.27102088859,vegetal,33.319623793821336,tonnes,Algeria,225560256621.757,1.4331102254017642e-07
DZA,banana,145513.3797312818,vegetal,246.94909065876007,tonnes,Algeria,225560256621.757,6.451197649384388e-07
DZA,barley,274032000.840393,vegetal,831634.8543000001,tonnes,Algeria,225560256621.757,0.0012148948797301579
DZA,bean,1963620.1021032787,vegetal,1788.6124991210938,tonnes,Algeria,225560256621.757,8.705523444212436e-06
DZA,beetfor,816651.3696409309,vegetal,7625.129501782735,tonnes,Algeria,225560256621.757,3.620546375819998e-06
DZA,berrynes,990.8395867471988,vegetal,0.9652601916679969,tonnes,Algeria,225560256621.757,4.3927933120272254e-09
DZA,broadbean,50590858.816090435,vegetal,47996.64040234375,tonnes,Algeria,225560256621.757,0.0002242897732685527
DZA,cabbagefor,0.0,vegetal,0.0,tonnes,Algeria,225560256621.757,0.0
DZA,cabbage,64485803.398518704,vegetal,125743.3126953125,tonnes,Algeria,225560256621.757,0.0002858916919333677
DZA,carob,,vegetal,3563.795368286133,tonnes,Algeria,225560256621.757,
DZA,carrotfor,0.0,vegetal,0.0,tonnes,Algeria,225560256621.757,0.0
DZA,carrot,248798065.89751583,vegetal,411406.4752335938,tonnes,Algeria,225560256621.757,0.001103022622973543
DZA,castor,,vegetal,,tonnes,Algeria,225560256621.757,
DZA,cauliflower,167092085.5825301,vegetal,222577.4689015625,tonnes,Algeria,225560256621.757,0.0007407869102699576
