Country Code (ISO3),macro_impact,physical_volume,type,physical_unit,Country Name,gdp2022,relative impact
MLT,4278245.947650375,6853.824656064664,vegetal,tonnes,Malta,18357069272.7682,0.00023305713368946862
MMR,8391497780.361328,17042833.61316792,vegetal,tonnes,Myanmar,62253049891.6449,0.13479657293847008
MNE,90306744.07031843,122473.18709269485,vegetal,tonnes,Montenegro,6229801580.79157,0.014495926218382688
MNG,54265824.1294326,107538.96787319865,vegetal,tonnes,Mongolia,17146471713.748,0.0031648391013249914
MOZ,2247988401.4172597,4736405.162560168,vegetal,tonnes,Mozambique,18406835494.9468,0.12212791286337059
MRT,217113510.85637373,432999.6180284236,vegetal,tonnes,Mauritania,9744039514.55646,0.02228167389223242
MUS,153605744.79385835,2032262.0496393193,vegetal,tonnes,Mauritius,12927979286.0453,0.011881651524586154
MWI,4085971273.0950384,8786341.371244986,vegetal,tonnes,Malawi,13129458325.7379,0.3112063858023175
MYS,9016414886.901745,31977768.634078942,vegetal,tonnes,Malaysia,407027451714.616,0.022151859411250547
NAM,341706172.88681245,212430.96020642732,vegetal,tonnes,Namibia,12567271004.6761,0.027190165053309387
NER,941045837.7509925,2467126.3607191714,vegetal,tonnes,Niger,15433852712.2963,0.06097284037194758
NGA,18573832034.70736,31077256.135328848,vegetal,tonnes,Nigeria,472624596925.938,0.03929933430362269
NIC,693171254.8449128,3740951.0193560794,vegetal,tonnes,Nicaragua,15649934214.9276,0.04429227914477336
NLD,1968691757.706577,5577939.999479855,vegetal,tonnes,Netherlands,1009398719033.08,0.0019503608639333523
NOR,312137789.1594757,488992.59154418856,vegetal,tonnes,Norway,593726965415.619,0.0005257261457561961
NPL,4569474822.467812,10799709.583556369,vegetal,tonnes,Nepal,41182939600.67,0.11095552835168355
NZL,2517498775.945029,3438983.8581389426,vegetal,tonnes,New Zealand,246733522841.353,0.010203310628218743
OMN,1313485578.7988663,997909.3845746528,vegetal,tonnes,Oman,114667360208.062,0.011454746812131794
PAK,7968048463.136587,32655815.483297765,vegetal,tonnes,Pakistan,374787958882.308,0.02126015063797377
PAN,632738582.8852683,2143676.466293155,vegetal,tonnes,Panama,76522511780.6222,0.008268659354769073
PER,8767968316.878439,21833377.114720527,vegetal,tonnes,Peru,246488757636.211,0.035571473526670734
PHL,11580011436.151192,41302481.80166806,vegetal,tonnes,Philippines,404353369604.631,0.02863834533510604
PNG,2235585183.8644567,6191706.0346709415,vegetal,tonnes,Papua New Guinea,31603619036.6338,0.07073826517377789
POL,11023234898.879553,22672223.26539046,vegetal,tonnes,Poland,689763329458.441,0.015981184310761065
PRT,3149061519.613328,2752723.450044332,vegetal,tonnes,Portugal,255196659934.378,0.012339744260066282
PRY,1881062213.4598398,6634039.47228283,vegetal,tonnes,Paraguay,41952910858.0846,0.04483746598234784
QAT,8705465.697527027,12690.005101111794,vegetal,tonnes,Qatar,235770403734.9,3.692348810377168e-05
ROU,4070463898.449772,8349004.343247801,vegetal,tonnes,Romania,298891515898.026,0.01361853275165732
RUS,6891345725.494892,26608883.018274035,vegetal,tonnes,Russian Federation,2266029240645.34,0.0030411548103114125
RWA,3086666310.314039,5256530.2725822665,vegetal,tonnes,Rwanda,13316160803.5187,0.23179851579281094
SAU,2240810182.1578207,1138146.0741517819,vegetal,tonnes,Saudi Arabia,1108571466666.67,0.0020213493216595635
SDN,3107017594.3119545,5181844.632846156,vegetal,tonnes,Sudan,51666875363.0963,0.06013558150124132
SEN,1216755609.870078,4523611.915701717,vegetal,tonnes,Senegal,27619479059.6131,0.044054256318298665
SGP,2273388.9016330563,2243.874759457141,vegetal,tonnes,Singapore,498474540987.78,4.560692101000978e-06
SLB,128541511.48907095,252792.4414835617,vegetal,tonnes,Solomon Islands,1566360686.10632,0.08206380090437608
SLE,306725600.46716636,728756.3897012044,vegetal,tonnes,Sierra Leone,4094563859.43556,0.07491044492085387
SLV,893971455.4540852,5184939.440980578,vegetal,tonnes,El Salvador,31988920000.0,0.02794628438390809
SOM,123836435.0781483,339402.7653297838,vegetal,tonnes,Somalia,10419541202.0391,0.011885018032647498
SRB,504485937.9621589,1365101.3233256694,vegetal,tonnes,Serbia,63563410720.7093,0.007936734864320217
SSD,517262209.1864757,1040484.7647818752,vegetal,tonnes,South Sudan,,
STP,15198975.119553978,35522.04692476044,vegetal,tonnes,Sao Tome and Principe,542686976.457587,0.02800689122625708
SUR,145385979.76756895,310952.05217551964,vegetal,tonnes,Suriname,3620987993.32637,0.04015091462206483
SVK,424519869.25780743,1286257.20198852,vegetal,tonnes,Slovak Republic,115584743573.553,0.0036728019298469254
SVN,271485547.87118,448954.3596439752,vegetal,tonnes,Slovenia,60063475466.3446,0.004519977336697768
SWE,367699566.98625565,1243999.8032444248,vegetal,tonnes,Sweden,590409594949.102,0.0006227872482627154
SWZ,132821240.19347046,2393838.620526143,vegetal,tonnes,Eswatini,4790922788.70864,0.027723519257397907
TCD,577293554.6528268,1068991.8363992232,vegetal,tonnes,Chad,12396807590.173,0.04656792085007835
TGO,391099060.3813007,1270726.7124799083,vegetal,tonnes,Togo,8169476148.95692,0.04787321160503496
THA,10320843939.730463,53421076.51989619,vegetal,tonnes,Thailand,495645210972.751,0.020823047839955568
TJK,1060618338.5675999,1792757.8796003088,vegetal,tonnes,Tajikistan,10713525200.3998,0.09899807194442596
TKM,240696284.23068687,427607.19314976316,vegetal,tonnes,Turkmenistan,56542857142.8571,0.0042568822375311
TLS,110581321.35784405,156656.29668856916,vegetal,tonnes,Timor-Leste,3204753000.0,0.03450541160515149
TUN,320678022.4616302,872942.6029484497,vegetal,tonnes,Tunisia,44579761022.8993,0.007193354452862757
