,Area Code (M49),Area,Item Code (CPC),Item,Volume,Unit
359,84,Belize,21124,"Meat of turkeys, fresh or chilled",,USD
360,84,Belize,02910,Natural honey,,USD
361,84,Belize,02951.01,Raw hides and skins of cattle,,USD
362,84,Belize,02954,Raw hides and skins of goats or kids,,USD
363,84,Belize,02953,Raw hides and skins of sheep or lambs,,USD
364,84,Belize,02211,Raw milk of cattle,3227900.0640000002,USD
365,84,Belize,21514,"Sheep fat, unrendered",,USD
366,204,Benin,21512,"Cattle fat, unrendered",,USD
367,204,Benin,21151,"Edible offal of cattle, fresh, chilled or frozen",,USD
368,204,Benin,21156,"Edible offal of goat, fresh, chilled or frozen",,USD
369,204,Benin,21153,"Edible offal of pigs, fresh, chilled or frozen",,USD
370,204,Benin,21155,"Edible offal of sheep, fresh, chilled or frozen",,USD
371,204,Benin,21511.01,Fat of pigs,,USD
372,204,Benin,21170.02,"Game meat, fresh, chilled or frozen",,USD
373,204,Benin,21515,"Goat fat, unrendered",,USD
374,204,Benin,0231,"Hen eggs in shell, fresh",37912071.893,USD
375,204,Benin,21111.01,"Meat of cattle with the bone, fresh or chilled",262028837.904,USD
376,204,Benin,21121,"Meat of chickens, fresh or chilled",36928150.688,USD
377,204,Benin,21116,"Meat of goat, fresh or chilled",49217984.024000004,USD
378,204,Benin,21113.01,"Meat of pig with the bone, fresh or chilled",34569082.414799996,USD
379,204,Benin,21115,"Meat of sheep, fresh or chilled",236900420.55599996,USD
380,204,Benin,02951.01,Raw hides and skins of cattle,,USD
381,204,Benin,02954,Raw hides and skins of goats or kids,,USD
382,204,Benin,02953,Raw hides and skins of sheep or lambs,,USD
383,204,Benin,02211,Raw milk of cattle,92569624.701,USD
384,204,Benin,02292,Raw milk of goats,89459922.487,USD
