Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
CRI,188,Pg,329351.9375,482959.84,252928232.415
CRI,188,Sh,1864.198974609375,2812.0405,98951.7268
CIV,384,Bf,0.0,0.0,
CIV,384,Ch,14350654.0,62986950.0,403248033.08
CIV,384,Ct,208510.78125,1599887.1,180509914.8326
CIV,384,Dk,383.7244262695313,2630.1584,
CIV,384,Gt,246007.3125,1427121.1,41571005.27
CIV,384,Ho,1.505281686782837,7.5591993,
CIV,384,Pg,77403.5703125,366215.66,39724473.4164
CIV,384,Sh,321967.25,1752940.8,77849398.563
HRV,191,Bf,0.0,0.0,
HRV,191,Ch,2796811.0,9647795.0,161819405.0
HRV,191,Ct,139349.609375,440757.62,621112417.5
HRV,191,Dk,31389.345703125,71901.234,
HRV,191,Gt,27263.03125,61442.703,12873144.444444444
HRV,191,Ho,9496.703125,21686.309,0.0
HRV,191,Pg,334777.09375,1161235.1,258764357.3333333
HRV,191,Sh,289713.5,600140.0,45239089.6875
CUB,192,Bf,0.0,0.0,
CUB,192,Ch,9795340.0,31904754.0,284795391.98649234
CUB,192,Ct,1522518.375,4031765.2,541203723.4754999
CUB,192,Dk,0.0,0.0,
CUB,192,Gt,461805.28125,1043833.56,41061185.0
CUB,192,Ho,375209.0,812956.1,1010100.4
CUB,192,Pg,793131.75,1701799.0,682220563.2555
CUB,192,Sh,700852.5625,1684257.9,81183045.31
CYP,196,Bf,0.0,0.0,0.0
CYP,196,Ch,1796172.25,2952659.5,74405089.375
CYP,196,Ct,38484.95703125,58405.715,235707021.875
CYP,196,Dk,0.0,0.0,0.0
CYP,196,Gt,199844.0625,234563.28,66030858.94444445
CYP,196,Ho,508.1935424804688,659.56506,
CYP,196,Pg,216197.65625,358010.25,92972544.0
CYP,196,Sh,209741.21875,295130.3,76423648.0625
CZE,203,Bf,0.16467252,2.8148139,0.0
CZE,203,Ch,1739246.2,21554312.0,441929453.75
CZE,203,Ct,231767.86,1407250.1,2786329791.8
CZE,203,Dk,39472.047,591490.25,
CZE,203,Gt,7200.1772,26884.617,2301259.9444444445
CZE,203,Ho,7691.0874,33730.164,
CZE,203,Pg,156168.58,1555439.0,499796600.0
CZE,203,Sh,64608.023,232381.56,17145458.0
DNK,208,Bf,0.0,0.0,0.0
DNK,208,Ch,3377332.5,16789192.0,655723732.9898648
DNK,208,Ct,183889.078125,1533522.0,4726289422.5
DNK,208,Dk,27569.28125,245110.81,893088.0
DNK,208,Gt,0.0,0.0,0.0
DNK,208,Ho,5505.392578125,56888.543,
DNK,208,Pg,987127.0625,12417245.0,3711246282.666667
DNK,208,Sh,20699.109375,142205.88,7631214.375
DJI,262,Bf,0.0,0.0,
DJI,262,Ch,0.0,326.70013,
DJI,262,Ct,37537.07421875,300213.38,49955748.4044
DJI,262,Dk,0.0,0.0,
DJI,262,Gt,54904.0625,512564.9,11683062.473
DJI,262,Ho,0.0,0.0,
DJI,262,Pg,0.1214491724967956,0.91227245,
DJI,262,Sh,50906.33203125,463481.38,20273206.638
DMA,212,Bf,0.0,0.0,
DMA,212,Ch,199999.984375,199999.98,2820138.201535385
DMA,212,Ct,13968.0,13968.0,6348411.37058
DMA,212,Dk,0.0,0.0,
DMA,212,Gt,9702.0,9702.0,259485.5214285714
DMA,212,Ho,0.0,0.0,
DMA,212,Pg,5005.0,5005.0,1558586.0595
DMA,212,Sh,8051.0,8051.0,172132.08349999998
DOM,214,Bf,0.0,0.0,
DOM,214,Ch,89292632.0,171534910.0,1576484633.72172
DOM,214,Ct,1367061.875,2994770.0,744624612.8494501
DOM,214,Dk,384.1562805175781,384.15628,
DOM,214,Gt,132922.421875,234369.06,5692507.404571428
DOM,214,Ho,190024.09375,355114.94,
DOM,214,Pg,281898.8125,527886.0,270092633.043
DOM,214,Sh,137276.328125,248865.28,5905131.6075
ECU,218,Bf,2165.4602,3152.6045,
ECU,218,Ch,122656490.0,160670960.0,1847965188.6067848
ECU,218,Ct,2748073.2,4113963.5,2066793910.0914297
ECU,218,Dk,243894.75,443663.12,843340.664
ECU,218,Gt,18736.201,29009.52,2193048.7888571424
ECU,218,Ho,158766.08,223314.66,
ECU,218,Pg,1152399.6,1636228.2,738816781.7820001
ECU,218,Sh,396078.8,507576.22,48305585.25977142
EGY,818,Bf,1349440.9,3693713.2,2670552368.785
EGY,818,Ch,54256790.0,144957500.0,10957096050.202
EGY,818,Ct,1661215.0,4864054.0,6353026247.003401
EGY,818,Dk,5678701.5,11628660.0,138813671.984
EGY,818,Gt,1877482.6,4040676.2,151386677.26450002
EGY,818,Ho,27165.385,72386.875,
EGY,818,Pg,4224.731,10407.182,2281633.9974
EGY,818,Sh,1950872.2,5446323.0,632516949.4621667
SLV,222,Bf,0.0,0.041933905,
SLV,222,Ch,8696783.0,16445795.0,752446062.88
SLV,222,Ct,415562.16,1020536.06,422222881.6212
SLV,222,Dk,19562.594,35443.34,
SLV,222,Gt,8086.742,15146.051,407820.531
SLV,222,Ho,49751.145,97643.336,
SLV,222,Pg,77611.125,168390.89,18355503.1266
SLV,222,Sh,2667.1238,5445.99,346147.281
GNQ,226,Bf,0.0,0.0,
GNQ,226,Ch,295823.15625,357342.2,1301884.260443077
GNQ,226,Ct,4400.07861328125,5238.8457,254703.03225
GNQ,226,Dk,30747.890625,36640.01,
GNQ,226,Gt,7534.36962890625,9367.788,316986.23942857137
GNQ,226,Ho,0.0,0.0,
GNQ,226,Pg,5647.568359375,6820.791,665304.573
GNQ,226,Sh,32202.98046875,39559.125,694922.7341
ERI,232,Bf,0.0,0.0,
ERI,232,Ch,304373.0,1225243.1,9894958.4052
ERI,232,Ct,478730.4375,2094617.2,243045851.797
ERI,232,Dk,0.0,0.0,
ERI,232,Gt,394352.3125,1832336.0,46843913.75
ERI,232,Ho,0.0,17.965586,
ERI,232,Pg,962.1357421875,2214.4048,
ERI,232,Sh,500263.3125,2299535.5,50451135.3885
EST,233,Bf,0.0,0.0,0.0
EST,233,Ch,671341.25,2245997.5,91951192.39864863
EST,233,Ct,73061.4375,263159.94,651226236.75
EST,233,Dk,3702.547607421875,9877.827,0.0
EST,233,Gt,2004.55908203125,4541.506,745604.8888888889
EST,233,Ho,2423.2724609375,6251.782,
EST,233,Pg,99163.46875,356853.25,99682616.0
EST,233,Sh,35784.9375,84448.44,1688875.3125
ETH,231,Bf,0.0,0.0,
ETH,231,Ch,19537478.0,60498020.0,300492980.8664
ETH,231,Ct,20070684.0,57858996.0,5620549822.292667
ETH,231,Dk,0.0,140.5657,
ETH,231,Gt,10038109.0,29615280.0,982064510.432
ETH,231,Ho,896894.0,2082248.9,
ETH,231,Pg,11271.494140625,34675.055,7849747.069200001
ETH,231,Sh,10081755.0,28795548.0,759953831.5035
FIN,246,Bf,0.17128062,0.6773409,0.0
FIN,246,Ch,888606.4,7221709.0,587076082.5810812
FIN,246,Ct,153387.53,902623.8,2110712864.275
FIN,246,Dk,2.0361981,7.539105,0.0
FIN,246,Gt,629.8639,4465.6587,0.0
FIN,246,Ho,8625.43,73537.055,406495.8666666666
FIN,246,Pg,166354.1,1196091.2,393104149.3333334
FIN,246,Sh,22169.57,151087.8,8256723.75
FRA,250,Bf,24.664818,29.942102,0.0
FRA,250,Ch,26839840.0,246144200.0,3058622786.875
FRA,250,Ct,4114040.2,19367052.0,25249448020.800003
FRA,250,Dk,3835224.8,27283164.0,751724928.0
FRA,250,Gt,300551.3,1257692.0,1015447219.8333334
FRA,250,Ho,102683.695,396847.75,
FRA,250,Pg,1673401.8,13066808.0,4962824592.0
FRA,250,Sh,2288630.0,7034662.0,947170203.4
GAB,266,Bf,0.0,0.0,
GAB,266,Ch,2739621.5,3185328.5,17526369.897184618
GAB,266,Ct,28436.33984375,38818.633,9937265.29716
GAB,266,Dk,1.5876874923706057,1.671487,
GAB,266,Gt,89617.5390625,109607.55,2284682.4597142856
GAB,266,Ho,0.1381558179855346,0.15141077,
GAB,266,Pg,189592.75,217747.9,13183822.6575
GAB,266,Sh,184339.734375,215641.6,5544849.1453
GMB,270,Bf,0.0,0.0,
GMB,270,Ch,368626.78125,1314760.8,5871422.0428
