Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
COL,170,Gt,371857.28,1065198.4,2725393.9428571425
COL,170,Ho,220944.72,811564.8,25950803.194
COL,170,Pg,2340444.5,5743426.0,1907017107.3
COL,170,Sh,261641.52,724681.7,7923398.769200001
COD,180,Bf,0.0,0.0,
COD,180,Ch,4961078.5,20268974.0,56083162.1196
COD,180,Ct,434288.96875,998311.6,145806193.002
COD,180,Dk,697286.8125,2256054.2,
COD,180,Gt,1148914.125,4039880.8,127377710.46
COD,180,Ho,17.36595916748047,32.199963,
COD,180,Pg,296284.71875,985936.4,94457504.466
COD,180,Sh,314386.15625,905485.0,20033915.22
COG,178,Bf,0.0,0.0,
COG,178,Ch,1039433.125,2886799.5,29696124.267000005
COG,178,Ct,42411.34765625,340230.72,38636079.0074
COG,178,Dk,826.9195556640625,2368.4963,
COG,178,Gt,75490.9609375,325553.0,5365231.2870000005
COG,178,Ho,34.54780578613281,74.9387,
COG,178,Pg,24613.046875,98471.46,4829182.4232
COG,178,Sh,25276.2265625,125602.95,4137168.18
CRI,188,Bf,1744.5020751953125,3915.858,
CRI,188,Ch,5471970.5,23999274.0,616342123.7769232
CRI,188,Ct,483029.03125,1302582.5,1060460147.22561
CRI,188,Dk,0.0,0.0,
CRI,188,Gt,2455.2158203125,5309.9814,10893305.698
CRI,188,Ho,47936.53125,125638.06,
CRI,188,Pg,186791.171875,482959.84,252928232.415
CRI,188,Sh,1255.109619140625,2812.0405,98951.7268
CIV,384,Bf,0.0,0.0,
CIV,384,Ch,18294990.0,62986950.0,403248033.08
CIV,384,Ct,254680.703125,1599887.1,180509914.8326
CIV,384,Dk,1592.5526123046875,2630.1584,
CIV,384,Gt,333022.125,1427121.1,41571005.27
CIV,384,Ho,3.5312390327453613,7.5591993,
CIV,384,Pg,93940.8046875,366215.66,39724473.4164
CIV,384,Sh,410223.25,1752940.8,77849398.563
HRV,191,Bf,0.0,0.0,
HRV,191,Ch,2802353.25,9647795.0,161819405.0
HRV,191,Ct,138595.5,440757.62,621112417.5
HRV,191,Dk,31330.265625,71901.234,
HRV,191,Gt,27082.25390625,61442.703,12873144.444444444
HRV,191,Ho,9472.7919921875,21686.309,0.0
HRV,191,Pg,335049.09375,1161235.1,258764357.3333333
HRV,191,Sh,289771.5625,600140.0,45239089.6875
CUB,192,Bf,0.0,0.0,
CUB,192,Ch,5311174.0,31904754.0,284795391.98649234
CUB,192,Ct,885514.6875,4031765.2,541203723.4754999
CUB,192,Dk,0.0,0.0,
CUB,192,Gt,309977.5,1043833.56,41061185.0
CUB,192,Ho,382158.96875,812956.1,1010100.4
CUB,192,Pg,520321.1875,1701799.0,682220563.2555
CUB,192,Sh,455198.6875,1684257.9,81183045.31
CYP,196,Bf,0.0,0.0,0.0
CYP,196,Ch,886580.875,2952659.5,74405089.375
CYP,196,Ct,21509.822265625,58405.715,235707021.875
CYP,196,Dk,0.0,0.0,0.0
CYP,196,Gt,151290.640625,234563.28,66030858.94444445
CYP,196,Ho,339.59576416015625,659.56506,
CYP,196,Pg,130123.9921875,358010.25,92972544.0
CYP,196,Sh,126523.4375,295130.3,76423648.0625
CZE,203,Bf,0.16467252,2.8148139,0.0
CZE,203,Ch,2087967.2,21554312.0,441929453.75
CZE,203,Ct,326444.88,1407250.1,2786329791.8
CZE,203,Dk,66013.23,591490.25,
CZE,203,Gt,9671.186,26884.617,2301259.9444444445
CZE,203,Ho,10190.586,33730.164,
CZE,203,Pg,191277.67,1555439.0,499796600.0
CZE,203,Sh,87738.47,232381.56,17145458.0
DNK,208,Bf,0.0,0.0,0.0
DNK,208,Ch,4875282.0,16789192.0,655723732.9898648
DNK,208,Ct,557610.625,1533522.0,4726289422.5
DNK,208,Dk,71128.8671875,245110.81,893088.0
DNK,208,Gt,0.0,0.0,0.0
DNK,208,Ho,13051.150390625,56888.543,
DNK,208,Pg,3371019.75,12417245.0,3711246282.666667
DNK,208,Sh,43998.8046875,142205.88,7631214.375
DJI,262,Bf,0.0,0.0,
DJI,262,Ch,326.7001342773437,326.70013,
DJI,262,Ct,98038.40625,300213.38,49955748.4044
DJI,262,Dk,0.0,0.0,
DJI,262,Gt,154912.75,512564.9,11683062.473
DJI,262,Ho,0.0,0.0,
DJI,262,Pg,0.4879812896251678,0.91227245,
DJI,262,Sh,136064.71875,463481.38,20273206.638
DMA,212,Bf,0.0,0.0,
DMA,212,Ch,199999.984375,199999.98,2820138.201535385
DMA,212,Ct,13968.0,13968.0,6348411.37058
DMA,212,Dk,0.0,0.0,
DMA,212,Gt,9702.0,9702.0,259485.5214285714
DMA,212,Ho,0.0,0.0,
DMA,212,Pg,5005.0,5005.0,1558586.0595
DMA,212,Sh,8051.0,8051.0,172132.08349999998
DOM,214,Bf,0.0,0.0,
DOM,214,Ch,27564340.0,171534910.0,1576484633.72172
DOM,214,Ct,403893.1875,2994770.0,744624612.8494501
DOM,214,Dk,384.1562805175781,384.15628,
DOM,214,Gt,54236.2578125,234369.06,5692507.404571428
DOM,214,Ho,67363.6640625,355114.94,
DOM,214,Pg,95602.3984375,527886.0,270092633.043
DOM,214,Sh,50453.59375,248865.28,5905131.6075
ECU,218,Bf,1414.9386,3152.6045,
ECU,218,Ch,25080004.0,160670960.0,1847965188.6067848
ECU,218,Ct,690492.5,4113963.5,2066793910.0914297
ECU,218,Dk,57336.64,443663.12,843340.664
ECU,218,Gt,8970.47,29009.52,2193048.7888571424
ECU,218,Ho,41825.848,223314.66,
ECU,218,Pg,233642.23,1636228.2,738816781.7820001
ECU,218,Sh,91796.15,507576.22,48305585.25977142
EGY,818,Bf,2316873.5,3693713.2,2670552368.785
EGY,818,Ch,90336080.0,144957500.0,10957096050.202
EGY,818,Ct,2964994.2,4864054.0,6353026247.003401
EGY,818,Dk,9300302.0,11628660.0,138813671.984
EGY,818,Gt,2726422.0,4040676.2,151386677.26450002
EGY,818,Ho,43363.305,72386.875,
EGY,818,Pg,6492.2236,10407.182,2281633.9974
EGY,818,Sh,3117524.0,5446323.0,632516949.4621667
SLV,222,Bf,0.0,0.041933905,
SLV,222,Ch,8307546.5,16445795.0,752446062.88
SLV,222,Ct,212280.12,1020536.06,422222881.6212
SLV,222,Dk,11746.354,35443.34,
SLV,222,Gt,5279.7646,15146.051,407820.531
SLV,222,Ho,27818.34,97643.336,
SLV,222,Pg,40700.0,168390.89,18355503.1266
SLV,222,Sh,1748.1196,5445.99,346147.281
GNQ,226,Bf,0.0,0.0,
GNQ,226,Ch,95868.65625,357342.2,1301884.260443077
GNQ,226,Ct,1359.2061767578125,5238.8457,254703.03225
GNQ,226,Dk,8779.033203125,36640.01,
GNQ,226,Gt,2502.72802734375,9367.788,316986.23942857137
GNQ,226,Ho,0.0,0.0,
GNQ,226,Pg,1721.62890625,6820.791,665304.573
GNQ,226,Sh,9326.8125,39559.125,694922.7341
ERI,232,Bf,0.0,0.0,
